"filename", "language", "XML", "YAML", "JSON with Comments", "JSON", "Markdown", "TypeScript", "Properties", "Dart", "HTML", "JavaScript JSX", "comment", "blank", "total"
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/utils/firebase/firebase_client.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 7, 5, 39
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/utils/firebase_storage_bucket.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 2, 22
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/utils/geohash.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 2, 3, 43
"/Users/kafilcodes/Developer/App/nirmadapp/lib/src/utils/image_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"/Users/kafilcodes/Developer/App/nirmadapp/pubspec.yaml", "YAML", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 73, 16, 203
"/Users/kafilcodes/Developer/App/nirmadapp/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 9, 5, 43
"/Users/kafilcodes/Developer/App/nirmadapp/web/firebase-messaging-sw.js", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 22, 5, 53
"/Users/kafilcodes/Developer/App/nirmadapp/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 16, 19, 119
"/Users/kafilcodes/Developer/App/nirmadapp/web/manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 168, 120, 13, 9540, 158, 355, 8, 20642, 84, 26, 1222, 1308, 33644
